NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Gene Group Identifier	Gene Group Method
886209	esxA	ESAT-6 protein EsxA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885638	katG	catalase-peroxidase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888164	rpoB	DNA-directed RNA polymerase subunit beta	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888260	pncA	pyrazinamidase/nicotinamidase PncA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886523	inhA	NADH-dependent enoyl-[ACP] reductase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888842	devR	two component transcriptional regulator DevR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887072	pknB	serine/threonine-protein kinase PknB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888772	phoP	two component system response transcriptional positive regulator PhoP	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887579	hspX	alpha-crystallin	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885903	eis	enhanced intracellular survival protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887105	gyrA	DNA gyrase subunit A	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886272	hbhA	heparin binding hemagglutinin HbhA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887081	gyrB	DNA gyrase subunit B	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886194	esxB	ESAT-6-like protein EsxB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888369	ftsZ	cell division protein FtsZ	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886397	pknG	serine/threonine-protein kinase PknG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888829	devS	two component sensor histidine kinase DevS	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886048	rpfB	resuscitation-promoting factor RpfB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888371	recA	recombinase A	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885608	topA	DNA topoisomerase I	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886291	icl1	isocitrate lyase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886126	embB	arabinosyltransferase B	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885925	mpt64	immunogenic protein Mpt64	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885551	PE_PGRS33	PE-PGRS family protein PE_PGRS33	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888788	pup	ubiquitin-like protein Pup	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886176	bfrB	bacterioferritin BfrB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886132	fbpA	diacylglycerol acyltransferase/mycolyltransferase Ag85A	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886551	fabG1	3-oxoacyl-ACP reductase FabG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887373	ptpA	protein-tyrosine-phosphatase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885785	fbpB	diacylglycerol acyltransferase/mycolyltransferase Ag85B	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886603	esxH	ESAT-6-like protein EsxH	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885120	coaA	pantothenate kinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885772	Rv1885c	chorismate mutase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885188	rpsA	30S ribosomal protein S1	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885594	secA2	accessory Sec system translocase SecA2	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
