L	L_Alt	L_Operon	L_Alt_Operon	SD	UTR	SD_Operon	UTR_Operon	Not assigned
Rv0013	Rv0072	Rv0042c	Rv0073	Rv0001	Rv0002	Rv0054	Rv0006	Rv0004
Rv0025	Rv0198c	Rv0043c	Rv0074	Rv0019c	Rv0003	Rv0055	Rv0007	Rv0008c
Rv0029	Rv0207c	Rv0127	Rv0075	Rv0036c	Rv0005	Rv0056	Rv0010c	Rv0009
Rv0030	Rv0490	Rv0128	Rv0491	Rv0039c	Rv0011c	Rv0057	Rv0014c	Rv0021c
Rv0038	Rv0500A	Rv0146	Rv0781	Rv0040c	Rv0012	Rv0064A	Rv0016c	Rv0022c
Rv0041	Rv0579	Rv0164	Rv1166	Rv0046c	Rv0015c	Rv0113	Rv0017c	Rv0023
Rv0044c	Rv0628c	Rv0185	Rv1560	Rv0047c	Rv0018c	Rv0168	Rv0050	Rv0024
Rv0048c	Rv0634c	Rv0186	Rv2564	Rv0053	Rv0020c	Rv0169	Rv0051	Rv0027
Rv0102	Rv0756c	Rv0200		Rv0058	Rv0026	Rv0170	Rv0084	Rv0028
Rv0118c	Rv0780	Rv0277c		Rv0060	Rv0032	Rv0171	Rv0087	Rv0031
Rv0121c	Rv0809	Rv0299		Rv0064	Rv0037c	Rv0172	Rv0088	Rv0033
Rv0126	Rv1092c	Rv0301		Rv0066c	Rv0045c	Rv0173	Rv0107c	Rv0034
Rv0133	Rv1096	Rv0334		Rv0068	Rv0049	Rv0191	Rv0139	Rv0035
Rv0134	Rv1117	Rv0382c		Rv0081	Rv0061c	Rv0192	Rv0148	Rv0052
Rv0141c	Rv1165	Rv0391		Rv0112	Rv0070c	Rv0233	Rv0176	Rv0059
Rv0145	Rv1167c	Rv0433		Rv0117	Rv0078A	Rv0241c	Rv0180c	Rv0062
Rv0157A	Rv1179c	Rv0444c		Rv0120c	Rv0079	Rv0247c	Rv0181c	Rv0063
Rv0163	Rv1340	Rv0463		Rv0125	Rv0080	Rv0285	Rv0188	Rv0065
Rv0179c	Rv1412	Rv0525		Rv0130	Rv0082	Rv0286	Rv0246	Rv0067c
Rv0183	Rv1558	Rv0526		Rv0137c	Rv0085	Rv0287	Rv0337c	Rv0069c
Rv0184	Rv1559	Rv0527		Rv0162c	Rv0091	Rv0288	Rv0410c	Rv0071
Rv0189c	Rv1597	Rv0528		Rv0166	Rv0103c	Rv0289	Rv0411c	Rv0076c
Rv0199	Rv1607	Rv0529		Rv0167	Rv0108c	Rv0290	Rv0424c	Rv0077c
Rv0204c	Rv1626	Rv0530		Rv0174	Rv0109	Rv0291	Rv0425c	Rv0078
Rv0205	Rv1636	Rv0556		Rv0178	Rv0110	Rv0292	Rv0431	Rv0083
Rv0217c	Rv1826	Rv0557		Rv0190	Rv0111	Rv0351	Rv0449c	Rv0086
Rv0220	Rv1847	Rv0587		Rv0192A	Rv0116c	Rv0459	Rv0461	Rv0089
Rv0225	Rv1924c	Rv0588		Rv0198c	Rv0129c	Rv0468	Rv0477	Rv0090
Rv0258c	Rv2199c	Rv0589		Rv0201c	Rv0138	Rv0475	Rv0487	Rv0092
Rv0262c	Rv2563	Rv0590		Rv0206c	Rv0142	Rv0510	Rv0497	Rv0093c
Rv0265c	Rv2642	Rv0595c		Rv0211	Rv0147	Rv0512	Rv0504c	Rv0094c
Rv0270	Rv2707	Rv0597c		Rv0232	Rv0149	Rv0513	Rv0541c	Rv0095c
Rv0277A	Rv2773c	Rv0598c		Rv0238	Rv0150c	Rv0514	Rv0542c	Rv0096
Rv0281	Rv2802c	Rv0617		Rv0242c	Rv0154c	Rv0565c	Rv0543c	Rv0097
Rv0295c	Rv2935	Rv0624		Rv0243	Rv0158	Rv0570	Rv0544c	Rv0098
Rv0298	Rv3057c	Rv0627		Rv0244c	Rv0165c	Rv0652	Rv0547c	Rv0099
Rv0300	Rv3208	Rv0636		Rv0248c	Rv0175	Rv0664	Rv0554	Rv0100
Rv0307c	Rv3304	Rv0637		Rv0249c	Rv0177	Rv0668	Rv0577	Rv0101
Rv0308	Rv3409c	Rv0743c		Rv0250c	Rv0182c	Rv0679c	Rv0640	Rv0104
Rv0309	Rv3647c	Rv0808		Rv0273c	Rv0186A	Rv0687	Rv0659c	Rv0105c
Rv0311	Rv3694c	Rv0906		Rv0274	Rv0187	Rv0688	Rv0683	Rv0106
Rv0321	Rv3732	Rv0907		Rv0276	Rv0195	Rv0710	Rv0684	Rv0114
Rv0328	Rv3778c	Rv0913c		Rv0282	Rv0202c	Rv0715	Rv0693	Rv0115
Rv0333	Rv3797	Rv0934		Rv0284	Rv0209	Rv0716	Rv0694	Rv0119
