## date = '2022-02-26 09:43:20.594783'
## execstr = '/usr/local/bin/metagene generate NC_000962 --landmark cds_start --downstream 100 --annotation_files NC_000962.gtf'
## args = {  
##          'add_three'                 : False,,
##          'annotation_files'          : ['NC_000962.gtf'],,
##          'annotation_format'         : 'GTF2',,
##          'bed_extra_columns'         : 0,,
##          'downstream'                : 100,,
##          'gff_cds_types'             : {'CDS_indpendently_known', 'CDS_predicted', 'CDS_fragment', 'CDS'},,
##          'gff_exon_types'            : {'three_prime_noncoding_exon', 'three_prime_coding_exonfive_prime_noncoding_exon', 'interior_exon', 'interior_coding_exon', 'five_prime_coding_exon', 'coding_exon', 'pseudogenic_exon', 'exon_of_single_exon_gene', 'exon', 'noncoding_exon'},,
##          'gff_transcript_types'      : {'antisense_lncRNA', 'U6_snRNA', 'lysyl_tRNA', 'shRNA', 'guide_RNA', 'U12_snRNA', 'telomerase_RNA', 'GcvB_RNA', 'rRNA_5S', 'transcript', 'snRNA', 'U6atac_snRNA', 'vault_RNA', 'small_subunit_rRNA', 'tRNA', 'isoleucyl_tRNA', 'pyrrollysyl_tRNA', 'class_I_RNA', 'U14_snoRNA', 'antisense_RNA', 'lnc_RNA', 'polycistronic_mRNA', 'tyrosyl_tRNA', 'valyl_tRNA', 'glutamyl_tRNA', 'mRNA_recoded_by_translational_bypass', 'edited_transcript_by_A_to_I_substitution', 'small_regulatory_ncRNA', 'U11_snRNA', 'rRNA', 'priRNA', 'leucyl_tRNA', 'arginyl_tRNA', 'piRNA', 'H_ACA_box_snoRNA', 'anti_ARRET', 'glycyl_tRNA', 'rRNA_16S', 'rRNA_cleavage_RNA', 'TERRA', 'threonyl_tRNA', 'mRNA_with_minus_1_frameshift', 'seryl_tRNA', 'cysteinyl_tRNA', 'RprA_RNA', 'selenocysteinyl_tRNA', 'U2_snRNA', 'lincRNA', 'mRNA_with_frameshift', 'rRNA_21S', 'RNase_MRP_RNA', 'mature_transcript', 'alanyl_tRNA', 'ARRET', 'dicistronic_mRNA', 'snoRNA', 'MicF_RNA', 'siRNA', 'large_subunit_rRNA', 'class_II_RNA', 'moR', 'OxyS_RNA', 'pseudouridylation_guide_snoRNA', 'scRNA', 'mRNA', 'RNase_P_RNA', 'non_functional_homolog_of_pseudogenic_transcript', 'prolyl_tRNA', 'asparaginyl_tRNA', 'mRNA_with_plus_1_frameshift', 'U5_snRNA', 'enhancerRNA', 'mRNA_with_plus_2_frameshift', 'RRE_RNA', 'rRNA_23S', 'CsrB_RsmB_RNA', 'tasiRNA', 'edited_transcript', 'tmRNA', 'IoR', 'rRNA_5_8S', 'U3_snoRNA', 'ARIA', 'U4atac_snRNA', 'DsrA_RNA', 'rasiRNA', 'RNA_6S', 'U1_snRNA', 'enzymatic_RNA', 'methylation_guide_snoRNA', 'ncRNA', 'methionyl_tRNA', 'U4_snRNA', 'pseudogenic_transcript', 'aspartyl_tRNA', 'rRNA_28S', 'telomeric_transcript', 'histidyl_tRNA', 'trans_spliced_mRNA', 'intronic_lncRNA', 'edited_mRNA', 'mRNA_with_minus_2_frameshift', 'mRNA_recoded_by_codon_redefinition', 'recoded_mRNA', 'rRNA_25S', 'monocistronic_mRNA', 'miRNA', 'C_D_box_snoRNA', 'glutaminyl_tRNA', 'rRNA_18S', 'SRP_RNA', 'phenylalanyl_tRNA', 'tryptophanyl_tRNA', 'polyadenylated_mRNA', 'Y_RNA', 'spot42_RNA'},,
##          'group_by'                  : 'gene_id',,
##          'landmark'                  : 'cds_start',,
##          'mask_add_three'            : False,,
##          'mask_annotation_files'     : [],,
##          'mask_annotation_format'    : 'GTF2',,
##          'mask_bed_extra_columns'    : 0,,
##          'mask_gff_cds_types'        : {'CDS_indpendently_known', 'CDS_predicted', 'CDS_fragment', 'CDS'},,
##          'mask_gff_exon_types'       : {'three_prime_noncoding_exon', 'three_prime_coding_exonfive_prime_noncoding_exon', 'interior_exon', 'interior_coding_exon', 'five_prime_coding_exon', 'coding_exon', 'pseudogenic_exon', 'exon_of_single_exon_gene', 'exon', 'noncoding_exon'},,
##          'mask_gff_transcript_types' : {'antisense_lncRNA', 'U6_snRNA', 'lysyl_tRNA', 'shRNA', 'guide_RNA', 'U12_snRNA', 'telomerase_RNA', 'GcvB_RNA', 'rRNA_5S', 'transcript', 'snRNA', 'U6atac_snRNA', 'vault_RNA', 'small_subunit_rRNA', 'tRNA', 'isoleucyl_tRNA', 'pyrrollysyl_tRNA', 'class_I_RNA', 'U14_snoRNA', 'antisense_RNA', 'lnc_RNA', 'polycistronic_mRNA', 'tyrosyl_tRNA', 'valyl_tRNA', 'glutamyl_tRNA', 'mRNA_recoded_by_translational_bypass', 'edited_transcript_by_A_to_I_substitution', 'small_regulatory_ncRNA', 'U11_snRNA', 'rRNA', 'priRNA', 'leucyl_tRNA', 'arginyl_tRNA', 'piRNA', 'H_ACA_box_snoRNA', 'anti_ARRET', 'glycyl_tRNA', 'rRNA_16S', 'rRNA_cleavage_RNA', 'TERRA', 'threonyl_tRNA', 'mRNA_with_minus_1_frameshift', 'seryl_tRNA', 'cysteinyl_tRNA', 'RprA_RNA', 'selenocysteinyl_tRNA', 'U2_snRNA', 'lincRNA', 'mRNA_with_frameshift', 'rRNA_21S', 'RNase_MRP_RNA', 'mature_transcript', 'alanyl_tRNA', 'ARRET', 'dicistronic_mRNA', 'snoRNA', 'MicF_RNA', 'siRNA', 'large_subunit_rRNA', 'class_II_RNA', 'moR', 'OxyS_RNA', 'pseudouridylation_guide_snoRNA', 'scRNA', 'mRNA', 'RNase_P_RNA', 'non_functional_homolog_of_pseudogenic_transcript', 'prolyl_tRNA', 'asparaginyl_tRNA', 'mRNA_with_plus_1_frameshift', 'U5_snRNA', 'enhancerRNA', 'mRNA_with_plus_2_frameshift', 'RRE_RNA', 'rRNA_23S', 'CsrB_RsmB_RNA', 'tasiRNA', 'edited_transcript', 'tmRNA', 'IoR', 'rRNA_5_8S', 'U3_snoRNA', 'ARIA', 'U4atac_snRNA', 'DsrA_RNA', 'rasiRNA', 'RNA_6S', 'U1_snRNA', 'enzymatic_RNA', 'methylation_guide_snoRNA', 'ncRNA', 'methionyl_tRNA', 'U4_snRNA', 'pseudogenic_transcript', 'aspartyl_tRNA', 'rRNA_28S', 'telomeric_transcript', 'histidyl_tRNA', 'trans_spliced_mRNA', 'intronic_lncRNA', 'edited_mRNA', 'mRNA_with_minus_2_frameshift', 'mRNA_recoded_by_codon_redefinition', 'recoded_mRNA', 'rRNA_25S', 'monocistronic_mRNA', 'miRNA', 'C_D_box_snoRNA', 'glutaminyl_tRNA', 'rRNA_18S', 'SRP_RNA', 'phenylalanyl_tRNA', 'tryptophanyl_tRNA', 'polyadenylated_mRNA', 'Y_RNA', 'spot42_RNA'},,
##          'mask_maxmem'               : 0,,
##          'mask_sorted'               : False,,
##          'mask_tabix'                : False,,
##          'maxmem'                    : 0,,
##          'outbase'                   : 'NC_000962',,
##          'program'                   : 'generate',,
##          'sorted'                    : False,,
##          'tabix'                     : False,,
##          'upstream'                  : 50,,
##          'warnlevel'                 : 0,
##        }
region_id	window_size	region	masked	alignment_offset	zero_point
RV1984a	150	NC_000962.3:2228675-2228775(+)	na	50	50
Rv0001	150	NC_000962.3:0-100(+)	na	50	50
Rv0002	150	NC_000962.3:2051-2151(+)	na	50	50
Rv0003	150	NC_000962.3:3279-3379(+)	na	50	50
Rv0004	150	NC_000962.3:4433-4533(+)	na	50	50
Rv0005	150	NC_000962.3:5239-5339(+)	na	50	50
Rv0006	150	NC_000962.3:7301-7401(+)	na	50	50
Rv0007	150	NC_000962.3:9913-10013(+)	na	50	50
Rv0008c	150	NC_000962.3:12211-12311(-)	na	50	50
Rv0009	150	NC_000962.3:12467-12567(+)	na	50	50
Rv0010c	150	NC_000962.3:13458-13558(-)	na	50	50
Rv0011c	150	NC_000962.3:13895-13995(-)	na	50	50
Rv0012	150	NC_000962.3:14088-14188(+)	na	50	50
Rv0013	150	NC_000962.3:14913-15013(+)	na	50	50
Rv0014c	150	NC_000962.3:17370-17470(-)	na	50	50
Rv0015c	150	NC_000962.3:18662-18762(-)	na	50	50
Rv0016c	150	NC_000962.3:20134-20234(-)	na	50	50
Rv0017c	150	NC_000962.3:21540-21640(-)	na	50	50
Rv0018c	150	NC_000962.3:23081-23181(-)	na	50	50
Rv0019c	150	NC_000962.3:23637-23737(-)	na	50	50
Rv0020c	150	NC_000962.3:25344-25444(-)	na	50	50
Rv0021c	150	NC_000962.3:26781-26881(-)	na	50	50
Rv0022c	150	NC_000962.3:27342-27442(-)	na	50	50
Rv0023	150	NC_000962.3:27594-27694(+)	na	50	50
Rv0024	150	NC_000962.3:28361-28461(+)	na	50	50
Rv0025	150	NC_000962.3:29244-29344(+)	na	50	50
Rv0026	150	NC_000962.3:29721-29821(+)	na	50	50
Rv0027	150	NC_000962.3:31188-31288(+)	na	50	50
Rv0028	150	NC_000962.3:31513-31613(+)	na	50	50
Rv0029	150	NC_000962.3:32056-32156(+)	na	50	50
Rv0030	150	NC_000962.3:33223-33323(+)	na	50	50
Rv0032	150	NC_000962.3:34294-34394(+)	na	50	50
Rv0033	150	NC_000962.3:36606-36706(+)	na	50	50
Rv0034	150	NC_000962.3:36866-36966(+)	na	50	50
Rv0035	150	NC_000962.3:37258-37358(+)	na	50	50
Rv0036c	150	NC_000962.3:39729-39829(-)	na	50	50
Rv0037c	150	NC_000962.3:41102-41202(-)	na	50	50
Rv0038	150	NC_000962.3:41303-41403(+)	na	50	50
Rv0039c	150	NC_000962.3:42251-42351(-)	na	50	50
Rv0040c	150	NC_000962.3:43265-43365(-)	na	50	50
Rv0041	150	NC_000962.3:43561-43661(+)	na	50	50
Rv0042c	150	NC_000962.3:47107-47207(-)	na	50	50
Rv0043c	150	NC_000962.3:48000-48100(-)	na	50	50
Rv0044c	150	NC_000962.3:48927-49027(-)	na	50	50
Rv0045c	150	NC_000962.3:49839-49939(-)	na	50	50
Rv0046c	150	NC_000962.3:51024-51124(-)	na	50	50
Rv0047c	150	NC_000962.3:51627-51727(-)	na	50	50
Rv0048c	150	NC_000962.3:52597-52697(-)	na	50	50
Rv0049	150	NC_000962.3:52830-52930(+)	na	50	50
Rv0050	150	NC_000962.3:53662-53762(+)	na	50	50
Rv0051	150	NC_000962.3:55695-55795(+)	na	50	50
Rv0052	150	NC_000962.3:57409-57509(+)	na	50	50
Rv0053	150	NC_000962.3:58191-58291(+)	na	50	50
Rv0054	150	NC_000962.3:58585-58685(+)	na	50	50
Rv0055	150	NC_000962.3:59121-59221(+)	na	50	50
Rv0056	150	NC_000962.3:59408-59508(+)	na	50	50
Rv0057	150	NC_000962.3:59895-59995(+)	na	50	50
Rv0058	150	NC_000962.3:60395-60495(+)	na	50	50
Rv0059	150	NC_000962.3:63199-63299(+)	na	50	50
Rv0060	150	NC_000962.3:63908-64008(+)	na	50	50
Rv0061c	150	NC_000962.3:65250-65350(-)	na	50	50
Rv0062	150	NC_000962.3:65551-65651(+)	na	50	50
Rv0063	150	NC_000962.3:66922-67022(+)	na	50	50
Rv0063a	150	NC_000962.3:68417-68517(+)	na	50	50
Rv0064	150	NC_000962.3:68619-68719(+)	na	50	50
Rv0064A	150	NC_000962.3:71588-71688(+)	na	50	50
Rv0065	150	NC_000962.3:71820-71920(+)	na	50	50
Rv0066c	150	NC_000962.3:74411-74511(-)	na	50	50
Rv0067c	150	NC_000962.3:75098-75198(-)	na	50	50
Rv0068	150	NC_000962.3:75300-75400(+)	na	50	50
Rv0069c	150	NC_000962.3:77522-77622(-)	na	50	50
Rv0070c	150	NC_000962.3:78796-78896(-)	na	50	50
Rv0071	150	NC_000962.3:79485-79585(+)	na	50	50
Rv0072	150	NC_000962.3:80623-80723(+)	na	50	50
Rv0073	150	NC_000962.3:81675-81775(+)	na	50	50
Rv0074	150	NC_000962.3:82747-82847(+)	na	50	50
Rv0075	150	NC_000962.3:83995-84095(+)	na	50	50
Rv0076c	150	NC_000962.3:85472-85572(-)	na	50	50
Rv0077c	150	NC_000962.3:86366-86466(-)	na	50	50
Rv0078	150	NC_000962.3:86527-86627(+)	na	50	50
Rv0078A	150	NC_000962.3:87701-87801(-)	na	50	50
Rv0078B	150	NC_000962.3:87904-88004(-)	na	50	50
Rv0079	150	NC_000962.3:88203-88303(+)	na	50	50
Rv0080	150	NC_000962.3:89021-89121(+)	na	50	50
Rv0081	150	NC_000962.3:89574-89674(+)	na	50	50
Rv0082	150	NC_000962.3:89923-90023(+)	na	50	50
Rv0083	150	NC_000962.3:90399-90499(+)	na	50	50
Rv0084	150	NC_000962.3:92327-92427(+)	na	50	50
Rv0085	150	NC_000962.3:93288-93388(+)	na	50	50
Rv0086	150	NC_000962.3:93950-94050(+)	na	50	50
Rv0087	150	NC_000962.3:95413-95513(+)	na	50	50
Rv0088	150	NC_000962.3:96926-97026(+)	na	50	50
Rv0089	150	NC_000962.3:97757-97857(+)	na	50	50
Rv0090	150	NC_000962.3:98479-98579(+)	na	50	50
Rv0091	150	NC_000962.3:99683-99783(+)	na	50	50
Rv0092	150	NC_000962.3:100582-100682(+)	na	50	50
Rv0093c	150	NC_000962.3:103563-103663(-)	na	50	50
Rv0094c	150	NC_000962.3:104563-104663(-)	na	50	50
Rv0095c	150	NC_000962.3:105115-105215(-)	na	50	50
Rv0096	150	NC_000962.3:105323-105423(+)	na	50	50
Rv0097	150	NC_000962.3:106733-106833(+)	na	50	50
Rv0098	150	NC_000962.3:107599-107699(+)	na	50	50
Rv0099	150	NC_000962.3:108155-108255(+)	na	50	50
Rv0100	150	NC_000962.3:109782-109882(+)	na	50	50
Rv0101	150	NC_000962.3:110000-110100(+)	na	50	50
Rv0102	150	NC_000962.3:117713-117813(+)	na	50	50
Rv0103c	150	NC_000962.3:122073-122173(-)	na	50	50
Rv0104	150	NC_000962.3:122316-122416(+)	na	50	50
Rv0105c	150	NC_000962.3:124164-124264(-)	na	50	50
Rv0106	150	NC_000962.3:124373-124473(+)	na	50	50
Rv0107c	150	NC_000962.3:130441-130541(-)	na	50	50
Rv0108c	150	NC_000962.3:131004-131104(-)	na	50	50
Rv0109	150	NC_000962.3:131381-131481(+)	na	50	50
Rv0110	150	NC_000962.3:133019-133119(+)	na	50	50
Rv0111	150	NC_000962.3:133949-134049(+)	na	50	50
Rv0112	150	NC_000962.3:136288-136388(+)	na	50	50
Rv0113	150	NC_000962.3:137318-137418(+)	na	50	50
Rv0114	150	NC_000962.3:137940-138040(+)	na	50	50
Rv0115	150	NC_000962.3:138512-138612(+)	na	50	50
Rv0115a	150	NC_000962.3:139955-140055(+)	na	50	50
Rv0116c	150	NC_000962.3:140922-141022(-)	na	50	50
Rv0117	150	NC_000962.3:141199-141299(+)	na	50	50
Rv0118c	150	NC_000962.3:143776-143876(-)	na	50	50
Rv0119	150	NC_000962.3:144048-144148(+)	na	50	50
Rv0120c	150	NC_000962.3:147671-147771(-)	na	50	50
Rv0121c	150	NC_000962.3:148242-148342(-)	na	50	50
Rv0122	150	NC_000962.3:148490-148590(+)	na	50	50
Rv0123	150	NC_000962.3:148855-148955(+)	na	50	50
Rv0124	150	NC_000962.3:149532-149632(+)	na	50	50
Rv0125	150	NC_000962.3:151147-151247(+)	na	50	50
Rv0126	150	NC_000962.3:152323-152423(+)	na	50	50
Rv0127	150	NC_000962.3:154231-154331(+)	na	50	50
Rv0128	150	NC_000962.3:155666-155766(+)	na	50	50
