## date = '2022-02-25 19:21:50.634139'
## execstr = '/usr/local/bin/metagene generate NC_000962 --landmark cds_start --annotation_files NC_000962.gtf'
## args = {  
##          'add_three'                 : False,,
##          'annotation_files'          : ['NC_000962.gtf'],,
##          'annotation_format'         : 'GTF2',,
##          'bed_extra_columns'         : 0,,
##          'downstream'                : 50,,
##          'gff_cds_types'             : {'CDS_fragment', 'CDS_predicted', 'CDS', 'CDS_indpendently_known'},,
##          'gff_exon_types'            : {'pseudogenic_exon', 'noncoding_exon', 'three_prime_noncoding_exon', 'five_prime_coding_exon', 'interior_coding_exon', 'three_prime_coding_exonfive_prime_noncoding_exon', 'interior_exon', 'coding_exon', 'exon', 'exon_of_single_exon_gene'},,
##          'gff_transcript_types'      : {'small_subunit_rRNA', 'IoR', 'RRE_RNA', 'snoRNA', 'SRP_RNA', 'rRNA_16S', 'RNase_P_RNA', 'telomeric_transcript', 'pseudogenic_transcript', 'mRNA_with_minus_2_frameshift', 'selenocysteinyl_tRNA', 'U4_snRNA', 'class_II_RNA', 'OxyS_RNA', 'rRNA_28S', 'asparaginyl_tRNA', 'lysyl_tRNA', 'valyl_tRNA', 'class_I_RNA', 'rRNA', 'U5_snRNA', 'vault_RNA', 'guide_RNA', 'tyrosyl_tRNA', 'CsrB_RsmB_RNA', 'spot42_RNA', 'edited_mRNA', 'U6atac_snRNA', 'mRNA_with_minus_1_frameshift', 'alanyl_tRNA', 'antisense_RNA', 'antisense_lncRNA', 'mature_transcript', 'leucyl_tRNA', 'tryptophanyl_tRNA', 'piRNA', 'H_ACA_box_snoRNA', 'rRNA_23S', 'edited_transcript', 'transcript', 'methylation_guide_snoRNA', 'seryl_tRNA', 'ARIA', 'lincRNA', 'threonyl_tRNA', 'U11_snRNA', 'enhancerRNA', 'GcvB_RNA', 'mRNA_recoded_by_codon_redefinition', 'rRNA_21S', 'shRNA', 'U6_snRNA', 'prolyl_tRNA', 'glycyl_tRNA', 'polycistronic_mRNA', 'U14_snoRNA', 'anti_ARRET', 'U2_snRNA', 'telomerase_RNA', 'isoleucyl_tRNA', 'RNase_MRP_RNA', 'RprA_RNA', 'snRNA', 'pseudouridylation_guide_snoRNA', 'mRNA', 'edited_transcript_by_A_to_I_substitution', 'aspartyl_tRNA', 'tmRNA', 'miRNA', 'moR', 'trans_spliced_mRNA', 'MicF_RNA', 'mRNA_with_plus_2_frameshift', 'rRNA_5_8S', 'non_functional_homolog_of_pseudogenic_transcript', 'enzymatic_RNA', 'C_D_box_snoRNA', 'U3_snoRNA', 'glutamyl_tRNA', 'tasiRNA', 'mRNA_with_frameshift', 'mRNA_recoded_by_translational_bypass', 'recoded_mRNA', 'mRNA_with_plus_1_frameshift', 'rasiRNA', 'lnc_RNA', 'rRNA_25S', 'rRNA_cleavage_RNA', 'small_regulatory_ncRNA', 'U4atac_snRNA', 'intronic_lncRNA', 'histidyl_tRNA', 'siRNA', 'TERRA', 'scRNA', 'dicistronic_mRNA', 'rRNA_5S', 'U12_snRNA', 'ncRNA', 'large_subunit_rRNA', 'ARRET', 'priRNA', 'arginyl_tRNA', 'tRNA', 'RNA_6S', 'glutaminyl_tRNA', 'Y_RNA', 'pyrrollysyl_tRNA', 'methionyl_tRNA', 'phenylalanyl_tRNA', 'DsrA_RNA', 'cysteinyl_tRNA', 'U1_snRNA', 'rRNA_18S', 'monocistronic_mRNA', 'polyadenylated_mRNA'},,
##          'group_by'                  : 'gene_id',,
##          'landmark'                  : 'cds_start',,
##          'mask_add_three'            : False,,
##          'mask_annotation_files'     : [],,
##          'mask_annotation_format'    : 'GTF2',,
##          'mask_bed_extra_columns'    : 0,,
##          'mask_gff_cds_types'        : {'CDS_fragment', 'CDS_predicted', 'CDS', 'CDS_indpendently_known'},,
##          'mask_gff_exon_types'       : {'pseudogenic_exon', 'noncoding_exon', 'three_prime_noncoding_exon', 'five_prime_coding_exon', 'interior_coding_exon', 'three_prime_coding_exonfive_prime_noncoding_exon', 'interior_exon', 'coding_exon', 'exon', 'exon_of_single_exon_gene'},,
##          'mask_gff_transcript_types' : {'small_subunit_rRNA', 'IoR', 'RRE_RNA', 'snoRNA', 'SRP_RNA', 'rRNA_16S', 'RNase_P_RNA', 'telomeric_transcript', 'pseudogenic_transcript', 'mRNA_with_minus_2_frameshift', 'selenocysteinyl_tRNA', 'U4_snRNA', 'class_II_RNA', 'OxyS_RNA', 'rRNA_28S', 'asparaginyl_tRNA', 'lysyl_tRNA', 'valyl_tRNA', 'class_I_RNA', 'rRNA', 'U5_snRNA', 'vault_RNA', 'guide_RNA', 'tyrosyl_tRNA', 'CsrB_RsmB_RNA', 'spot42_RNA', 'edited_mRNA', 'U6atac_snRNA', 'mRNA_with_minus_1_frameshift', 'alanyl_tRNA', 'antisense_RNA', 'antisense_lncRNA', 'mature_transcript', 'leucyl_tRNA', 'tryptophanyl_tRNA', 'piRNA', 'H_ACA_box_snoRNA', 'rRNA_23S', 'edited_transcript', 'transcript', 'methylation_guide_snoRNA', 'seryl_tRNA', 'ARIA', 'lincRNA', 'threonyl_tRNA', 'U11_snRNA', 'enhancerRNA', 'GcvB_RNA', 'mRNA_recoded_by_codon_redefinition', 'rRNA_21S', 'shRNA', 'U6_snRNA', 'prolyl_tRNA', 'glycyl_tRNA', 'polycistronic_mRNA', 'U14_snoRNA', 'anti_ARRET', 'U2_snRNA', 'telomerase_RNA', 'isoleucyl_tRNA', 'RNase_MRP_RNA', 'RprA_RNA', 'snRNA', 'pseudouridylation_guide_snoRNA', 'mRNA', 'edited_transcript_by_A_to_I_substitution', 'aspartyl_tRNA', 'tmRNA', 'miRNA', 'moR', 'trans_spliced_mRNA', 'MicF_RNA', 'mRNA_with_plus_2_frameshift', 'rRNA_5_8S', 'non_functional_homolog_of_pseudogenic_transcript', 'enzymatic_RNA', 'C_D_box_snoRNA', 'U3_snoRNA', 'glutamyl_tRNA', 'tasiRNA', 'mRNA_with_frameshift', 'mRNA_recoded_by_translational_bypass', 'recoded_mRNA', 'mRNA_with_plus_1_frameshift', 'rasiRNA', 'lnc_RNA', 'rRNA_25S', 'rRNA_cleavage_RNA', 'small_regulatory_ncRNA', 'U4atac_snRNA', 'intronic_lncRNA', 'histidyl_tRNA', 'siRNA', 'TERRA', 'scRNA', 'dicistronic_mRNA', 'rRNA_5S', 'U12_snRNA', 'ncRNA', 'large_subunit_rRNA', 'ARRET', 'priRNA', 'arginyl_tRNA', 'tRNA', 'RNA_6S', 'glutaminyl_tRNA', 'Y_RNA', 'pyrrollysyl_tRNA', 'methionyl_tRNA', 'phenylalanyl_tRNA', 'DsrA_RNA', 'cysteinyl_tRNA', 'U1_snRNA', 'rRNA_18S', 'monocistronic_mRNA', 'polyadenylated_mRNA'},,
##          'mask_maxmem'               : 0,,
##          'mask_sorted'               : False,,
##          'mask_tabix'                : False,,
##          'maxmem'                    : 0,,
##          'outbase'                   : 'NC_000962',,
##          'program'                   : 'generate',,
##          'sorted'                    : False,,
##          'tabix'                     : False,,
##          'upstream'                  : 50,,
##          'warnlevel'                 : 0,
##        }
region_id	window_size	region	masked	alignment_offset	zero_point
RV1984a	100	NC_000962.3:2228675-2228725(+)	na	50	50
Rv0001	100	NC_000962.3:0-50(+)	na	50	50
Rv0002	100	NC_000962.3:2051-2101(+)	na	50	50
Rv0003	100	NC_000962.3:3279-3329(+)	na	50	50
Rv0004	100	NC_000962.3:4433-4483(+)	na	50	50
Rv0005	100	NC_000962.3:5239-5289(+)	na	50	50
Rv0006	100	NC_000962.3:7301-7351(+)	na	50	50
Rv0007	100	NC_000962.3:9913-9963(+)	na	50	50
Rv0008c	100	NC_000962.3:12261-12311(-)	na	50	50
Rv0009	100	NC_000962.3:12467-12517(+)	na	50	50
Rv0010c	100	NC_000962.3:13508-13558(-)	na	50	50
Rv0011c	100	NC_000962.3:13945-13995(-)	na	50	50
Rv0012	100	NC_000962.3:14088-14138(+)	na	50	50
Rv0013	100	NC_000962.3:14913-14963(+)	na	50	50
Rv0014c	100	NC_000962.3:17420-17470(-)	na	50	50
Rv0015c	100	NC_000962.3:18712-18762(-)	na	50	50
Rv0016c	100	NC_000962.3:20184-20234(-)	na	50	50
Rv0017c	100	NC_000962.3:21590-21640(-)	na	50	50
Rv0018c	100	NC_000962.3:23131-23181(-)	na	50	50
Rv0019c	100	NC_000962.3:23687-23737(-)	na	50	50
Rv0020c	100	NC_000962.3:25394-25444(-)	na	50	50
Rv0021c	100	NC_000962.3:26831-26881(-)	na	50	50
Rv0022c	100	NC_000962.3:27392-27442(-)	na	50	50
Rv0023	100	NC_000962.3:27594-27644(+)	na	50	50
Rv0024	100	NC_000962.3:28361-28411(+)	na	50	50
Rv0025	100	NC_000962.3:29244-29294(+)	na	50	50
Rv0026	100	NC_000962.3:29721-29771(+)	na	50	50
Rv0027	100	NC_000962.3:31188-31238(+)	na	50	50
Rv0028	100	NC_000962.3:31513-31563(+)	na	50	50
Rv0029	100	NC_000962.3:32056-32106(+)	na	50	50
Rv0030	100	NC_000962.3:33223-33273(+)	na	50	50
Rv0032	100	NC_000962.3:34294-34344(+)	na	50	50
Rv0033	100	NC_000962.3:36606-36656(+)	na	50	50
Rv0034	100	NC_000962.3:36866-36916(+)	na	50	50
Rv0035	100	NC_000962.3:37258-37308(+)	na	50	50
Rv0036c	100	NC_000962.3:39779-39829(-)	na	50	50
Rv0037c	100	NC_000962.3:41152-41202(-)	na	50	50
Rv0038	100	NC_000962.3:41303-41353(+)	na	50	50
Rv0039c	100	NC_000962.3:42301-42351(-)	na	50	50
Rv0040c	100	NC_000962.3:43315-43365(-)	na	50	50
Rv0041	100	NC_000962.3:43561-43611(+)	na	50	50
Rv0042c	100	NC_000962.3:47157-47207(-)	na	50	50
Rv0043c	100	NC_000962.3:48050-48100(-)	na	50	50
Rv0044c	100	NC_000962.3:48977-49027(-)	na	50	50
Rv0045c	100	NC_000962.3:49889-49939(-)	na	50	50
Rv0046c	100	NC_000962.3:51074-51124(-)	na	50	50
Rv0047c	100	NC_000962.3:51677-51727(-)	na	50	50
Rv0048c	100	NC_000962.3:52647-52697(-)	na	50	50
Rv0049	100	NC_000962.3:52830-52880(+)	na	50	50
Rv0050	100	NC_000962.3:53662-53712(+)	na	50	50
Rv0051	100	NC_000962.3:55695-55745(+)	na	50	50
Rv0052	100	NC_000962.3:57409-57459(+)	na	50	50
Rv0053	100	NC_000962.3:58191-58241(+)	na	50	50
Rv0054	100	NC_000962.3:58585-58635(+)	na	50	50
Rv0055	100	NC_000962.3:59121-59171(+)	na	50	50
Rv0056	100	NC_000962.3:59408-59458(+)	na	50	50
Rv0057	100	NC_000962.3:59895-59945(+)	na	50	50
Rv0058	100	NC_000962.3:60395-60445(+)	na	50	50
Rv0059	100	NC_000962.3:63199-63249(+)	na	50	50
Rv0060	100	NC_000962.3:63908-63958(+)	na	50	50
Rv0061c	100	NC_000962.3:65300-65350(-)	na	50	50
Rv0062	100	NC_000962.3:65551-65601(+)	na	50	50
Rv0063	100	NC_000962.3:66922-66972(+)	na	50	50
Rv0063a	100	NC_000962.3:68417-68467(+)	na	50	50
Rv0064	100	NC_000962.3:68619-68669(+)	na	50	50
Rv0064A	100	NC_000962.3:71588-71638(+)	na	50	50
Rv0065	100	NC_000962.3:71820-71870(+)	na	50	50
Rv0066c	100	NC_000962.3:74461-74511(-)	na	50	50
Rv0067c	100	NC_000962.3:75148-75198(-)	na	50	50
Rv0068	100	NC_000962.3:75300-75350(+)	na	50	50
Rv0069c	100	NC_000962.3:77572-77622(-)	na	50	50
Rv0070c	100	NC_000962.3:78846-78896(-)	na	50	50
Rv0071	100	NC_000962.3:79485-79535(+)	na	50	50
Rv0072	100	NC_000962.3:80623-80673(+)	na	50	50
Rv0073	100	NC_000962.3:81675-81725(+)	na	50	50
Rv0074	100	NC_000962.3:82747-82797(+)	na	50	50
Rv0075	100	NC_000962.3:83995-84045(+)	na	50	50
Rv0076c	100	NC_000962.3:85522-85572(-)	na	50	50
Rv0077c	100	NC_000962.3:86416-86466(-)	na	50	50
Rv0078	100	NC_000962.3:86527-86577(+)	na	50	50
Rv0078A	100	NC_000962.3:87751-87801(-)	na	50	50
Rv0078B	100	NC_000962.3:87954-88004(-)	na	50	50
Rv0079	100	NC_000962.3:88203-88253(+)	na	50	50
Rv0080	100	NC_000962.3:89021-89071(+)	na	50	50
Rv0081	100	NC_000962.3:89574-89624(+)	na	50	50
Rv0082	100	NC_000962.3:89923-89973(+)	na	50	50
Rv0083	100	NC_000962.3:90399-90449(+)	na	50	50
Rv0084	100	NC_000962.3:92327-92377(+)	na	50	50
Rv0085	100	NC_000962.3:93288-93338(+)	na	50	50
Rv0086	100	NC_000962.3:93950-94000(+)	na	50	50
Rv0087	100	NC_000962.3:95413-95463(+)	na	50	50
Rv0088	100	NC_000962.3:96926-96976(+)	na	50	50
Rv0089	100	NC_000962.3:97757-97807(+)	na	50	50
Rv0090	100	NC_000962.3:98479-98529(+)	na	50	50
Rv0091	100	NC_000962.3:99683-99733(+)	na	50	50
Rv0092	100	NC_000962.3:100582-100632(+)	na	50	50
Rv0093c	100	NC_000962.3:103613-103663(-)	na	50	50
Rv0094c	100	NC_000962.3:104613-104663(-)	na	50	50
Rv0095c	100	NC_000962.3:105165-105215(-)	na	50	50
Rv0096	100	NC_000962.3:105323-105373(+)	na	50	50
Rv0097	100	NC_000962.3:106733-106783(+)	na	50	50
Rv0098	100	NC_000962.3:107599-107649(+)	na	50	50
Rv0099	100	NC_000962.3:108155-108205(+)	na	50	50
Rv0100	100	NC_000962.3:109782-109832(+)	na	50	50
Rv0101	100	NC_000962.3:110000-110050(+)	na	50	50
Rv0102	100	NC_000962.3:117713-117763(+)	na	50	50
Rv0103c	100	NC_000962.3:122123-122173(-)	na	50	50
Rv0104	100	NC_000962.3:122316-122366(+)	na	50	50
Rv0105c	100	NC_000962.3:124214-124264(-)	na	50	50
Rv0106	100	NC_000962.3:124373-124423(+)	na	50	50
Rv0107c	100	NC_000962.3:130491-130541(-)	na	50	50
Rv0108c	100	NC_000962.3:131054-131104(-)	na	50	50
Rv0109	100	NC_000962.3:131381-131431(+)	na	50	50
Rv0110	100	NC_000962.3:133019-133069(+)	na	50	50
